Time (UTC),Open,High,Low,Close,Volume 
2023.01.02 23:00:00,24.102,24.125,24.083,24.125,0.351
2023.01.02 23:05:00,24.094,24.188,24.094,24.141,1.155
2023.01.02 23:10:00,24.143,24.148,24.022,24.027,0.882
2023.01.02 23:15:00,24.026,24.028,23.986,24.028,0.894
2023.01.02 23:20:00,24.026,24.073,24.023,24.073,0.9044
2023.01.02 23:25:00,24.075,24.105,24.073,24.09,0.747
2023.01.02 23:30:00,24.091,24.138,24.09,24.12,1.4448
2023.01.02 23:35:00,24.125,24.125,24.062,24.072,1.828
2023.01.02 23:40:00,24.072,24.102,24.072,24.094,3.0014
2023.01.02 23:45:00,24.093,24.098,24.078,24.097,2.216
2023.01.02 23:50:00,24.097,24.106,24.083,24.096,3.0062
2023.01.02 23:55:00,24.092,24.122,24.087,24.12,4.2256
2023.01.03 00:00:00,24.121,24.123,24.076,24.088,7.549
2023.01.03 00:05:00,24.089,24.114,24.081,24.108,4.9442
2023.01.03 00:10:00,24.109,24.166,24.108,24.155,11.8276
2023.01.03 00:15:00,24.159,24.179,24.1,24.139,16.12322
2023.01.03 00:20:00,24.138,24.154,24.1,24.105,12.2782
2023.01.03 00:25:00,24.104,24.127,24.081,24.104,18.9898
2023.01.03 00:30:00,24.105,24.12,24.083,24.09,9.7294
2023.01.03 00:35:00,24.091,24.1,24.082,24.082,6.2452
2023.01.03 00:40:00,24.08,24.09,24.077,24.08,3.4152
2023.01.03 00:45:00,24.078,24.101,24.076,24.096,6.2688
2023.01.03 00:50:00,24.096,24.1,24.083,24.086,6.595
2023.01.03 00:55:00,24.086,24.124,24.073,24.115,9.2826
2023.01.03 01:00:00,24.115,24.199,24.077,24.09,36.3012
2023.01.03 01:05:00,24.085,24.085,24.039,24.051,33.6744
2023.01.03 01:10:00,24.051,24.055,23.96,24.008,45.5852
2023.01.03 01:15:00,24.008,24.041,23.985,23.992,33.712
2023.01.03 01:20:00,23.99,23.99,23.905,23.913,29.612
2023.01.03 01:25:00,23.913,23.965,23.901,23.955,34.274
2023.01.03 01:30:00,23.946,24.037,23.932,24.017,50.482
2023.01.03 01:35:00,24.02,24.02,23.964,23.971,29.5538
2023.01.03 01:40:00,23.97,23.972,23.915,23.955,37.2316
2023.01.03 01:45:00,23.956,23.962,23.918,23.935,23.139
2023.01.03 01:50:00,23.93,24.011,23.93,24.009,24.8912
2023.01.03 01:55:00,24.01,24.03,23.976,24.025,21.3876
2023.01.03 02:00:00,24.028,24.058,24.003,24.055,17.557
2023.01.03 02:05:00,24.056,24.107,24.056,24.098,22.0502
2023.01.03 02:10:00,24.101,24.107,24.058,24.065,20.3244
2023.01.03 02:15:00,24.061,24.067,24.037,24.055,17.2514
2023.01.03 02:20:00,24.059,24.094,24.054,24.087,12.3858
2023.01.03 02:25:00,24.09,24.11,24.087,24.098,17.934
2023.01.03 02:30:00,24.098,24.154,24.09,24.139,27.8274
2023.01.03 02:35:00,24.138,24.149,24.113,24.146,22.9652
2023.01.03 02:40:00,24.147,24.233,24.137,24.233,31.2604
2023.01.03 02:45:00,24.234,24.243,24.197,24.235,23.5582
2023.01.03 02:50:00,24.236,24.273,24.233,24.248,27.263
2023.01.03 02:55:00,24.248,24.281,24.242,24.262,18.9812
2023.01.03 03:00:00,24.264,24.281,24.25,24.273,19.4578
2023.01.03 03:05:00,24.274,24.38,24.267,24.37,25.3672
2023.01.03 03:10:00,24.375,24.38,24.339,24.344,15.5906
2023.01.03 03:15:00,24.347,24.38,24.312,24.369,17.7154
2023.01.03 03:20:00,24.37,24.456,24.363,24.446,31.548
2023.01.03 03:25:00,24.445,24.483,24.411,24.413,26.1818
2023.01.03 03:30:00,24.414,24.415,24.367,24.397,24.6366
2023.01.03 03:35:00,24.398,24.404,24.352,24.367,20.8366
2023.01.03 03:40:00,24.36,24.374,24.342,24.345,16.5068
2023.01.03 03:45:00,24.348,24.367,24.332,24.339,13.2756
2023.01.03 03:50:00,24.337,24.351,24.329,24.335,11.1478
2023.01.03 03:55:00,24.335,24.368,24.328,24.366,14.8598
2023.01.03 04:00:00,24.367,24.376,24.355,24.356,13.2062
2023.01.03 04:05:00,24.361,24.364,24.325,24.334,6.3108
2023.01.03 04:10:00,24.33,24.364,24.33,24.358,12.7462
2023.01.03 04:15:00,24.357,24.36,24.341,24.348,11.5834
2023.01.03 04:20:00,24.349,24.358,24.341,24.353,9.5146
2023.01.03 04:25:00,24.352,24.362,24.344,24.359,9.3038
2023.01.03 04:30:00,24.357,24.392,24.355,24.389,9.9284
2023.01.03 04:35:00,24.39,24.401,24.375,24.395,9.3786
2023.01.03 04:40:00,24.396,24.403,24.384,24.396,7.1868
2023.01.03 04:45:00,24.39,24.398,24.36,24.366,12.5766
2023.01.03 04:50:00,24.365,24.435,24.354,24.407,8.336
2023.01.03 04:55:00,24.408,24.419,24.392,24.392,9.301
2023.01.03 05:00:00,24.393,24.395,24.371,24.384,9.9452
2023.01.03 05:05:00,24.384,24.403,24.384,24.385,9.9872
2023.01.03 05:10:00,24.387,24.398,24.373,24.373,12.2612
2023.01.03 05:15:00,24.374,24.395,24.361,24.361,11.2734
2023.01.03 05:20:00,24.362,24.377,24.359,24.368,11.1526
2023.01.03 05:25:00,24.365,24.367,24.325,24.34,12.1176
2023.01.03 05:30:00,24.337,24.428,24.337,24.368,16.603
2023.01.03 05:35:00,24.372,24.408,24.368,24.407,16.4174
2023.01.03 05:40:00,24.413,24.434,24.403,24.428,12.549
2023.01.03 05:45:00,24.428,24.433,24.411,24.413,18.579
2023.01.03 05:50:00,24.414,24.432,24.405,24.414,21.0878
2023.01.03 05:55:00,24.415,24.438,24.403,24.412,16.928
2023.01.03 06:00:00,24.408,24.452,24.408,24.449,20.3382
2023.01.03 06:05:00,24.448,24.473,24.428,24.466,24.01
2023.01.03 06:10:00,24.466,24.56,24.463,24.517,29.2
2023.01.03 06:15:00,24.517,24.538,24.501,24.511,17.0202
2023.01.03 06:20:00,24.518,24.518,24.476,24.481,19.7124
2023.01.03 06:25:00,24.481,24.494,24.45,24.465,11.5532
2023.01.03 06:30:00,24.465,24.475,24.409,24.414,26.6474
2023.01.03 06:35:00,24.414,24.433,24.406,24.409,18.2208
2023.01.03 06:40:00,24.408,24.41,24.377,24.407,10.0512
2023.01.03 06:45:00,24.401,24.407,24.376,24.386,13.2728
2023.01.03 06:50:00,24.389,24.422,24.387,24.418,15.5526
2023.01.03 06:55:00,24.419,24.442,24.418,24.433,10.173
2023.01.03 07:00:00,24.43,24.444,24.409,24.417,17.77304
2023.01.03 07:05:00,24.418,24.419,24.388,24.391,14.7932
2023.01.03 07:10:00,24.39,24.488,24.374,24.461,22.8872
2023.01.03 07:15:00,24.457,24.49,24.446,24.49,31.0298
2023.01.03 07:20:00,24.486,24.521,24.468,24.508,38.6606
2023.01.03 07:25:00,24.509,24.527,24.503,24.517,36.2316
2023.01.03 07:30:00,24.509,24.523,24.488,24.515,18.9518
2023.01.03 07:35:00,24.517,24.52,24.491,24.505,21.7646
2023.01.03 07:40:00,24.512,24.531,24.488,24.488,21.5284
2023.01.03 07:45:00,24.49,24.52,24.468,24.476,20.8812
2023.01.03 07:50:00,24.48,24.498,24.409,24.491,47.1586
2023.01.03 07:55:00,24.486,24.552,24.434,24.541,48.8502
2023.01.03 08:00:00,24.552,24.571,24.426,24.426,68.706
2023.01.03 08:05:00,24.431,24.459,24.341,24.366,54.9092
2023.01.03 08:10:00,24.359,24.409,24.344,24.385,49.2788
2023.01.03 08:15:00,24.382,24.398,24.32,24.347,42.7914
2023.01.03 08:20:00,24.351,24.357,24.286,24.31,47.3034
2023.01.03 08:25:00,24.309,24.366,24.296,24.365,55.4818
2023.01.03 08:30:00,24.366,24.368,24.285,24.315,47.7034
2023.01.03 08:35:00,24.319,24.389,24.31,24.356,29.9817
2023.01.03 08:40:00,24.36,24.378,24.333,24.347,22.4636
2023.01.03 08:45:00,24.344,24.347,24.301,24.326,30.3624
2023.01.03 08:50:00,24.329,24.337,24.228,24.243,34.5814
2023.01.03 08:55:00,24.234,24.279,24.234,24.264,54.5966
2023.01.03 09:00:00,24.265,24.306,24.243,24.275,54.7292
2023.01.03 09:05:00,24.269,24.302,24.242,24.299,35.0402
2023.01.03 09:10:00,24.303,24.341,24.257,24.335,35.0262
2023.01.03 09:15:00,24.325,24.36,24.322,24.349,36.3616
2023.01.03 09:20:00,24.34,24.405,24.332,24.402,37.8564
2023.01.03 09:25:00,24.406,24.478,24.386,24.474,31.518
2023.01.03 09:30:00,24.468,24.486,24.41,24.418,21.176
2023.01.03 09:35:00,24.419,24.43,24.352,24.354,13.5122
2023.01.03 09:40:00,24.36,24.43,24.354,24.421,18.2544
2023.01.03 09:45:00,24.414,24.431,24.389,24.421,13.2716
2023.01.03 09:50:00,24.414,24.419,24.379,24.381,13.397
2023.01.03 09:55:00,24.38,24.407,24.36,24.401,16.1268
2023.01.03 10:00:00,24.4,24.427,24.389,24.41,21.37
2023.01.03 10:05:00,24.415,24.431,24.408,24.422,20.9712
2023.01.03 10:10:00,24.422,24.428,24.405,24.423,14.787
2023.01.03 10:15:00,24.422,24.423,24.38,24.381,28.7038
2023.01.03 10:20:00,24.389,24.398,24.364,24.367,23.523
2023.01.03 10:25:00,24.367,24.403,24.36,24.386,23.9914
2023.01.03 10:30:00,24.386,24.394,24.34,24.363,32.2868
2023.01.03 10:35:00,24.358,24.371,24.347,24.355,17.069
2023.01.03 10:40:00,24.353,24.36,24.332,24.341,21.5634
2023.01.03 10:45:00,24.342,24.348,24.314,24.322,16.9194
2023.01.03 10:50:00,24.314,24.336,24.308,24.315,18.1932
2023.01.03 10:55:00,24.323,24.333,24.3,24.317,16.4766
2023.01.03 11:00:00,24.309,24.321,24.295,24.318,17.5654
2023.01.03 11:05:00,24.318,24.334,24.3,24.322,14.0468
2023.01.03 11:10:00,24.325,24.326,24.289,24.29,14.1742
2023.01.03 11:15:00,24.29,24.292,24.264,24.27,19.2956
2023.01.03 11:20:00,24.265,24.273,24.235,24.249,18.0372
2023.01.03 11:25:00,24.242,24.283,24.24,24.273,22.4046
2023.01.03 11:30:00,24.274,24.297,24.258,24.271,28.9204
2023.01.03 11:35:00,24.263,24.291,24.262,24.288,20.2126
2023.01.03 11:40:00,24.287,24.297,24.233,24.238,25.1602
2023.01.03 11:45:00,24.238,24.252,24.22,24.233,37.357
2023.01.03 11:50:00,24.237,24.283,24.233,24.278,30.652
2023.01.03 11:55:00,24.281,24.309,24.268,24.308,26.5524
2023.01.03 12:00:00,24.309,24.348,24.285,24.303,34.258
2023.01.03 12:05:00,24.304,24.304,24.246,24.264,23.3994
2023.01.03 12:10:00,24.262,24.305,24.244,24.297,23.6552
2023.01.03 12:15:00,24.302,24.308,24.288,24.308,22.5604
2023.01.03 12:20:00,24.307,24.307,24.286,24.286,17.5598
2023.01.03 12:25:00,24.289,24.311,24.285,24.309,17.2256
2023.01.03 12:30:00,24.304,24.311,24.268,24.288,17.897
2023.01.03 12:35:00,24.286,24.299,24.272,24.297,14.013
2023.01.03 12:40:00,24.296,24.308,24.284,24.294,12.961
2023.01.03 12:45:00,24.295,24.3,24.257,24.265,13.7304
2023.01.03 12:50:00,24.271,24.3,24.269,24.272,17.9048
2023.01.03 12:55:00,24.27,24.29,24.267,24.274,19.5594
2023.01.03 13:00:00,24.281,24.331,24.267,24.318,44.0766
2023.01.03 13:05:00,24.324,24.347,24.306,24.344,40.8608
2023.01.03 13:10:00,24.343,24.382,24.335,24.341,35.5448
2023.01.03 13:15:00,24.341,24.375,24.322,24.344,27.6934
2023.01.03 13:20:00,24.344,24.391,24.333,24.346,46.554
2023.01.03 13:25:00,24.341,24.344,24.285,24.294,43.0456
2023.01.03 13:30:00,24.294,24.297,24.254,24.289,41.9734
2023.01.03 13:35:00,24.289,24.304,24.247,24.283,33.4006
2023.01.03 13:40:00,24.282,24.329,24.282,24.323,30.2722
2023.01.03 13:45:00,24.319,24.332,24.274,24.322,38.3186
2023.01.03 13:50:00,24.319,24.406,24.312,24.383,46.1774
2023.01.03 13:55:00,24.387,24.409,24.364,24.387,42.2446
2023.01.03 14:00:00,24.381,24.388,24.338,24.363,43.7974
2023.01.03 14:05:00,24.357,24.412,24.342,24.397,31.2808
2023.01.03 14:10:00,24.394,24.433,24.394,24.423,29.6414
2023.01.03 14:15:00,24.416,24.457,24.405,24.42,28.3456
2023.01.03 14:20:00,24.419,24.436,24.38,24.429,29.7528
2023.01.03 14:25:00,24.43,24.432,24.383,24.421,31.2466
2023.01.03 14:30:00,24.419,24.513,24.389,24.48,66.42
2023.01.03 14:35:00,24.48,24.506,24.421,24.466,66.284
2023.01.03 14:40:00,24.461,24.501,24.442,24.467,80.9868
2023.01.03 14:45:00,24.473,24.501,24.4,24.431,82.7968
2023.01.03 14:50:00,24.429,24.446,24.358,24.378,72.8308
2023.01.03 14:55:00,24.381,24.399,24.326,24.326,87.4808
2023.01.03 15:00:00,24.326,24.364,24.318,24.336,223.0042
2023.01.03 15:05:00,24.341,24.363,24.301,24.333,160.695
2023.01.03 15:10:00,24.335,24.335,24.235,24.253,205.7592
2023.01.03 15:15:00,24.251,24.283,24.234,24.24,153.2238
2023.01.03 15:20:00,24.239,24.244,24.196,24.235,198.8186
2023.01.03 15:25:00,24.233,24.235,24.11,24.128,229.7602
2023.01.03 15:30:00,24.13,24.13,24.072,24.096,177.1974
2023.01.03 15:35:00,24.088,24.108,24.043,24.098,183.6398
