Time (UTC),Open,High,Low,Close,Volume 
2023.01.02 23:00:00,24.036,24.059,24.017,24.059,0.348
2023.01.02 23:05:00,24.064,24.13,24.064,24.092,1.8458
2023.01.02 23:10:00,24.094,24.098,23.972,23.977,0.903
2023.01.02 23:15:00,23.977,23.98,23.938,23.98,0.894
2023.01.02 23:20:00,23.978,24.024,23.976,24.023,0.888
2023.01.02 23:25:00,24.026,24.061,24.026,24.058,0.762
2023.01.02 23:30:00,24.061,24.101,24.046,24.086,1.242
2023.01.02 23:35:00,24.091,24.091,24.019,24.042,1.3522
2023.01.02 23:40:00,24.042,24.072,24.042,24.064,2.3625
2023.01.02 23:45:00,24.063,24.068,24.048,24.067,1.8962
2023.01.02 23:50:00,24.067,24.076,24.053,24.066,2.5266
2023.01.02 23:55:00,24.062,24.092,24.057,24.09,3.646
2023.01.03 00:00:00,24.091,24.093,24.046,24.058,3.6924
2023.01.03 00:05:00,24.059,24.084,24.051,24.078,2.1968
2023.01.03 00:10:00,24.079,24.136,24.078,24.125,5.419
2023.01.03 00:15:00,24.129,24.154,24.07,24.109,7.8218
2023.01.03 00:20:00,24.108,24.124,24.07,24.075,5.6327
2023.01.03 00:25:00,24.074,24.097,24.051,24.074,5.0152
2023.01.03 00:30:00,24.075,24.09,24.053,24.06,4.1846
2023.01.03 00:35:00,24.061,24.07,24.052,24.052,3.4196
2023.01.03 00:40:00,24.05,24.06,24.047,24.05,2.1064
2023.01.03 00:45:00,24.048,24.071,24.046,24.066,2.2698
2023.01.03 00:50:00,24.066,24.07,24.053,24.056,2.9962
2023.01.03 00:55:00,24.056,24.094,24.043,24.085,3.6862
2023.01.03 01:00:00,24.085,24.169,24.046,24.06,18.9364
2023.01.03 01:05:00,24.055,24.055,24.009,24.021,10.189
2023.01.03 01:10:00,24.021,24.025,23.93,23.978,10.7726
2023.01.03 01:15:00,23.978,24.011,23.955,23.962,8.7428
2023.01.03 01:20:00,23.96,23.96,23.875,23.883,9.7546
2023.01.03 01:25:00,23.883,23.935,23.871,23.925,8.4986
2023.01.03 01:30:00,23.916,24.007,23.902,23.987,11.5446
2023.01.03 01:35:00,23.99,23.99,23.934,23.941,7.8308
2023.01.03 01:40:00,23.94,23.942,23.885,23.925,8.5973
2023.01.03 01:45:00,23.926,23.932,23.888,23.905,6.0334
2023.01.03 01:50:00,23.9,23.981,23.9,23.979,6.2106
2023.01.03 01:55:00,23.98,24,23.946,23.995,7.5648
2023.01.03 02:00:00,23.998,24.028,23.973,24.025,7.9962
2023.01.03 02:05:00,24.026,24.077,24.026,24.068,7.4256
2023.01.03 02:10:00,24.071,24.077,24.028,24.035,5.6714
2023.01.03 02:15:00,24.031,24.037,24.007,24.025,4.4214
2023.01.03 02:20:00,24.029,24.064,24.024,24.057,3.476
2023.01.03 02:25:00,24.06,24.08,24.057,24.068,5.5438
2023.01.03 02:30:00,24.068,24.124,24.06,24.109,7.8954
2023.01.03 02:35:00,24.108,24.119,24.083,24.116,6.6968
2023.01.03 02:40:00,24.117,24.203,24.107,24.203,11.8486
2023.01.03 02:45:00,24.204,24.213,24.167,24.205,12.1642
2023.01.03 02:50:00,24.206,24.243,24.203,24.218,9.0856
2023.01.03 02:55:00,24.218,24.251,24.212,24.232,9.2166
2023.01.03 03:00:00,24.234,24.255,24.22,24.243,9.6888
2023.01.03 03:05:00,24.244,24.35,24.237,24.34,12.1366
2023.01.03 03:10:00,24.345,24.35,24.309,24.314,6.4468
2023.01.03 03:15:00,24.317,24.35,24.282,24.339,8.4806
2023.01.03 03:20:00,24.34,24.426,24.333,24.416,9.4178
2023.01.03 03:25:00,24.415,24.455,24.381,24.383,7.4292
2023.01.03 03:30:00,24.384,24.385,24.337,24.367,7.5066
2023.01.03 03:35:00,24.368,24.374,24.322,24.337,5.9136
2023.01.03 03:40:00,24.33,24.344,24.312,24.315,4.9184
2023.01.03 03:45:00,24.318,24.337,24.302,24.309,4.825
2023.01.03 03:50:00,24.307,24.321,24.299,24.305,3.451
2023.01.03 03:55:00,24.305,24.338,24.298,24.336,4.979
2023.01.03 04:00:00,24.337,24.346,24.325,24.326,3.2494
2023.01.03 04:05:00,24.331,24.334,24.295,24.304,2.2608
2023.01.03 04:10:00,24.3,24.334,24.3,24.328,3.414
2023.01.03 04:15:00,24.327,24.33,24.311,24.318,2.8182
2023.01.03 04:20:00,24.319,24.328,24.311,24.323,2.7742
2023.01.03 04:25:00,24.322,24.332,24.314,24.329,3.184
2023.01.03 04:30:00,24.327,24.362,24.325,24.359,4.2414
2023.01.03 04:35:00,24.36,24.371,24.345,24.365,3.8394
2023.01.03 04:40:00,24.366,24.373,24.354,24.366,2.9312
2023.01.03 04:45:00,24.36,24.368,24.33,24.336,3.9876
2023.01.03 04:50:00,24.335,24.405,24.324,24.377,4.0922
2023.01.03 04:55:00,24.378,24.389,24.362,24.362,3.291
2023.01.03 05:00:00,24.363,24.365,24.341,24.354,3.857
2023.01.03 05:05:00,24.354,24.373,24.354,24.355,3.8476
2023.01.03 05:10:00,24.357,24.368,24.343,24.343,5.0388
2023.01.03 05:15:00,24.344,24.365,24.331,24.331,5.709
2023.01.03 05:20:00,24.332,24.347,24.329,24.338,6.019
2023.01.03 05:25:00,24.335,24.337,24.295,24.31,6.5204
2023.01.03 05:30:00,24.307,24.398,24.307,24.338,10.8012
2023.01.03 05:35:00,24.342,24.378,24.338,24.377,9.98434
2023.01.03 05:40:00,24.383,24.404,24.373,24.398,6.8768
2023.01.03 05:45:00,24.398,24.403,24.381,24.383,8.6068
2023.01.03 05:50:00,24.384,24.402,24.375,24.384,7.523
2023.01.03 05:55:00,24.385,24.408,24.373,24.382,7.835
2023.01.03 06:00:00,24.378,24.422,24.378,24.419,7.786
2023.01.03 06:05:00,24.418,24.443,24.398,24.436,5.433
2023.01.03 06:10:00,24.436,24.53,24.433,24.487,7.7496
2023.01.03 06:15:00,24.487,24.508,24.471,24.481,10.6952
2023.01.03 06:20:00,24.488,24.488,24.446,24.451,8.7292
2023.01.03 06:25:00,24.451,24.464,24.42,24.435,7.0636
2023.01.03 06:30:00,24.435,24.445,24.379,24.384,9.9536
2023.01.03 06:35:00,24.384,24.403,24.376,24.379,5.2682
2023.01.03 06:40:00,24.378,24.38,24.347,24.377,3.2176
2023.01.03 06:45:00,24.371,24.377,24.346,24.356,5.5902
2023.01.03 06:50:00,24.359,24.392,24.357,24.388,6.2764
2023.01.03 06:55:00,24.389,24.412,24.388,24.403,4.5972
2023.01.03 07:00:00,24.4,24.414,24.379,24.387,8.004
2023.01.03 07:05:00,24.388,24.389,24.358,24.361,5.7486
2023.01.03 07:10:00,24.36,24.458,24.344,24.431,6.2564
2023.01.03 07:15:00,24.427,24.46,24.416,24.46,5.5732
2023.01.03 07:20:00,24.456,24.491,24.438,24.478,7.4652
2023.01.03 07:25:00,24.479,24.497,24.473,24.487,8.868
2023.01.03 07:30:00,24.479,24.493,24.458,24.485,9.6936
2023.01.03 07:35:00,24.487,24.49,24.461,24.475,11.3628
2023.01.03 07:40:00,24.482,24.501,24.458,24.458,10.323
2023.01.03 07:45:00,24.46,24.49,24.438,24.446,14.748
2023.01.03 07:50:00,24.45,24.468,24.379,24.461,11.5358
2023.01.03 07:55:00,24.456,24.522,24.404,24.511,11.5842
2023.01.03 08:00:00,24.522,24.541,24.396,24.396,18.3464
2023.01.03 08:05:00,24.401,24.429,24.311,24.336,19.8672
2023.01.03 08:10:00,24.329,24.379,24.314,24.355,12.7532
2023.01.03 08:15:00,24.352,24.368,24.29,24.317,14.3202
2023.01.03 08:20:00,24.321,24.327,24.256,24.28,13.044
2023.01.03 08:25:00,24.279,24.336,24.266,24.335,11.1602
2023.01.03 08:30:00,24.336,24.338,24.255,24.285,17.3238
2023.01.03 08:35:00,24.289,24.359,24.28,24.326,12.5022
2023.01.03 08:40:00,24.33,24.348,24.303,24.317,8.1282
2023.01.03 08:45:00,24.314,24.317,24.271,24.296,8.7484
2023.01.03 08:50:00,24.299,24.307,24.198,24.213,11.4888
2023.01.03 08:55:00,24.204,24.249,24.204,24.234,9.9864
